indicator,IC_trending,n_trending,ICIR_trending,IC_ranging,n_ranging,ICIR_ranging,IC_high_vol,n_high_vol,ICIR_high_vol,IC_low_vol,n_low_vol,ICIR_low_vol
PriceVs52w,0.005732876792028555,95933,1.1661910858505076,0.01018150445184659,76524,1.2347740268788752,0.010212108747725072,93376,1.2672583331829914,0.008205459754309278,96439,1.3505649233705894
StochRSI_14,0.009931794317863568,98477,0.4964407058879866,0.0037507245036801913,78123,0.09773513131801127,-0.004049340270289613,97145,0.6211641803601249,0.019101787946186978,97200,0.6204007460560181
Donchian_%,-0.0009180856368776759,98477,0.001894689242900856,-0.009830609947675782,78123,-0.02437855711952546,-0.0026697285680320343,97145,-0.004886890406452648,-0.008339691927011056,97200,-0.02917503089054753
RSIDivergence,0.009640019713409309,98477,0.42454153087509217,0.004308283121270603,78123,0.034193269714693574,-0.0014753708033766106,97145,0.5104248373167998,0.01899996979120501,97200,0.5763068158454188
VolRatio,0.009377856642667099,98477,-0.015838896005763527,-0.001823286349497699,78123,0.011685647352664618,-0.004296032237832749,97145,-0.03588084872094017,0.006716513899427837,97200,0.010380987657013776
RVOL_20,-0.00318664337275877,98477,-0.04554707621824376,-0.009374126674531193,78123,-0.028937337588729257,0.004786495820648417,97145,-0.04934797795063465,-0.015832633284490607,97200,-0.06378922838284244
ADX_14,0.008907436187023537,98477,-0.021145240986899533,-0.0029113671008050134,78123,-0.014554062626142544,-0.003028437965699552,97145,-0.05347578347772906,0.003748190386579577,97200,0.008972369518057988
VWMA_20,-0.008456139103638953,98477,-0.6064054036452273,0.004311942428107084,78123,-0.8098494601059217,-0.0018848452666891545,97145,-0.4065564477303865,-0.0029324530877853877,97200,-0.6175350302657681
ChaikinVol_10,0.008027513406079153,98477,-0.0032758952083946627,-0.003883265496529786,78123,0.014992686443411321,-0.0037292643778938563,97145,-0.019435229442973646,0.007364025501052263,97200,0.024795696380968856
VROC_14,-0.0008269500901647787,98474,-0.03332079414150456,-0.006095863495221388,78123,-0.00974275178710437,0.0030537305957346558,97142,-0.03309996125114217,-0.007507360630645933,97200,-0.044508291145222686
InsideBar_10,-0.004424057419753257,98477,-0.01828433317583827,-0.005828265333980475,78123,-0.026459703325727713,-0.008971350591211407,97145,-0.015617985035457528,0.0005822912078656856,97200,-0.013745753643398093
CMF_20,-0.005248182502823581,98477,-0.5636508176170621,0.0025377708039297574,78123,-0.2731174530659251,0.010178768032205377,97145,-0.5587359879179256,-0.019045885494382638,97200,-0.4933764219126685
Keltner_%,-0.0021872515171734975,98477,-0.12683264910949427,0.0017588819400820336,78123,0.02449782532024415,0.00041494840906459784,97145,-0.019888419060648522,-0.0005127759539404621,97200,-0.033857814288934356
